,User Requirement,Netx Shortest Path (Dijkstra) estimate,A* estimate,VeSpA 2 estimate,VeSpA 20 estimate,VeSpA 200 estimate,Netx Shortest Path (Dijkstra) success,A* success,VeSpA 2 success,VeSpA 20 success,VeSpA 200 success,Constraint List,Netx Shortest Path (Dijkstra) control List,A star control list,VeSpA 2 control list,VeSpA 20 control list,VeSpA 200 control list,ConstraintNodesGroup,Netx Shortest Path (Dijkstra) path,A* path,VeSpA 2 path,VeSpA 20 path,VeSpA 200 path,Netx Shortest Path (Dijkstra) path length,A* path length,VeSpA 2 path length,VeSpA 20 path length,VeSpA 200 path length,Netx Shortest Path (Dijkstra) runtime,A* runtime,VeSpA 2 runtime,VeSpA 20 runtime,VeSpA 200 runtime
lrb1|benchmark1_1,"['f1', 'f4']",1,1,1,1,1,1,1,1,1,1,"[[1, 'v4'], [2, 'v1', 'v9'], [2, 'v9', 'v13'], [1, 'v14']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","[['v4', 'c6', 'v7'], ['v1', 'c1'], ['v9', 'c7', 'v10', 'v13'], ['v14', 'c8']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]",12,12,12,12,12,5.340576171875e-05,0.0002181529998779297,0.0006482601165771484,0.0007805824279785156,0.001104593276977539
lrb1|benchmark2_1,"['f1', 'f4']",1,1,1,1,1,1,1,1,1,1,"[[1, 'v7'], [1, 'v12'], [2, 'v6', 'v8'], [2, 'v10', 'v11']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","[['v7', 'c6', 'v4'], ['v12', 'c10'], ['v6', 'c4', 'v8'], ['v10', 'c7', 'v9', 'v13'], ['v11', 'c9']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]",12,12,12,12,12,9.560585021972656e-05,0.00042510032653808594,0.0009961128234863281,0.0007944107055664062,0.0007886886596679688
lrb1|benchmark3_1,"['f1', 'f4']",1,1,0,0,0,0,0,2,2,2,"[[1, 'v9'], [2, 'v7', 'v4'], [1, 'v5'], [1, 'v2']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']",[],[],[],"[['v9', 'c7', 'v10', 'v13'], ['v7', 'c6', 'v4'], ['v5', 'c5'], ['v2', 'c2']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]",[],[],[],12,12,-1,-1,-1,4.410743713378906e-05,0.00021004676818847656,0.0002086162567138672,0.00019097328186035156,0.0001881122589111328
lrb1|benchmark4_1,"['f1', 'f4']",1,1,1,1,1,0,0,1,1,1,"[[1, 'v4'], [2, 'v2', 'v1'], [2, 'v3', 'v7']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v9', 'v13', 'v14', 'c7', 'c8', 'v10']","['v1', 'v5', 'v6', 'c1', 'c5', 'c4', 'v8']","['v1', 'v5', 'v6', 'c1', 'c5', 'c4', 'v8']","[['v4', 'c6', 'v7'], ['v2', 'c2'], ['v1', 'c1'], ['v3', 'c3']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]","[['f1', 'fo1', 'fo2', 'fo3', 'fo4', 'fo9', 'fo14', 'fo17', 'fo16', 'f4']]","[['f1', 'fo1', 'fo5', 'fo6', 'fo7', 'fo12', 'fo16', 'f4']]","[['f1', 'fo1', 'fo5', 'fo6', 'fo7', 'fo12', 'fo16', 'f4']]",12,12,18,14,14,4.38690185546875e-05,0.00021076202392578125,0.0005826950073242188,0.0026552677154541016,0.0026030540466308594
lrb1|benchmark5_1,"['f1', 'f4']",1,1,0,0,0,0,0,2,2,2,"[[1, 'v1'], [2, 'v13', 'v9'], [1, 'v4']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']",[],[],[],"[['v1', 'c1'], ['v13', 'c7', 'v9', 'v10'], ['v4', 'c6', 'v7']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]",[],[],[],12,12,-1,-1,-1,4.410743713378906e-05,0.00020933151245117188,0.00018787384033203125,0.0001773834228515625,0.00017595291137695312
