,User Requirement,Netx Shortest Path (Dijkstra) estimate,A* estimate,Vespa 1 estimate,Vespa 100 estimate,Vespa INF estimate,Netx Shortest Path (Dijkstra) success,A* success,Vespa 1 success,Vespa 100 success,Vespa INF success,Constraint List,Netx Shortest Path (Dijkstra) control List,A star control list,Vespa 1 control list,Vespa 100 control list,Vespa INF control list,ConstraintNodesGroup,Netx Shortest Path (Dijkstra) path,A* path,Vespa 1 path,Vespa 100 path,Vespa INF path,Netx Shortest Path (Dijkstra) path length,A* path length,Vespa 1 path length,Vespa 100 path length,Vespa INF path length,Netx Shortest Path (Dijkstra) runtime,A* runtime,Vespa 1 runtime,Vespa 100 runtime,Vespa INF runtime,Num Of Graph,Failures caused by Leakage Vespa 1,Failures caused by Leakage Vespa 100,Failures caused by Leakage Vespa INF,Leakage port in Vespa 1,Leakage port in Vespa 100,Leakage port in Vespa INF
lrb3|benchmark1_1,"[['f1'], ['f5']]",1,1,0,0,0,0,0,23,2,2,"[[2, 'v2', 'v1'], [2, 'v8', 'v6'], [1, 'v4'], [1, 'v6'], [1, 'v18'], [2, 'v19', 'v20'], [2, 'v2', 'v3'], [2, 'v8', 'v6'], [1, 'v14']]","['v1', 'v2', 'v9', 'c1', 'c8', 'c13', 'v3', 'v6']","['v1', 'v2', 'v9', 'c1', 'c8', 'c13', 'v3', 'v6']",[],[],[],"[['v2', 'c8', 'v6'], ['v1', 'c1', 'v3'], ['v8', 'c2', 'v4'], ['v18', 'c5', 'v20'], ['v19', 'c6', 'v23'], ['v14', 'c9', 'v16']]","[['f1', 'fo1', 'fo2', 'fo3', 'fo8', 'f5']]","[['f1', 'fo1', 'fo2', 'fo3', 'fo8', 'f5']]",[],[],[],10,10,-1,-1,-1,0.00003,0.00010,0.00081,0.00432,0.00429,15,0,0,0,[],[],[]
lrb3|benchmark2_1,"[['f2'], ['f5']]",1,1,0,1,1,1,1,3,1,1,"[[2, 'v2', 'v1'], [2, 'v7', 'v6'], [1, 'v14'], [1, 'v7'], [2, 'v2', 'v4'], [2, 'v2', 'v3'], [2, 'v8', 'v6'], [1, 'v14']]","['v3', 'v4', 'v9', 'c1', 'c2', 'c13', 'v1', 'v8']","['v3', 'v4', 'v9', 'c1', 'c2', 'c13', 'v1', 'v8']",[],"['v3', 'v4', 'v9', 'c1', 'c2', 'c13', 'v1', 'v8']","['v3', 'v4', 'v9', 'c1', 'c2', 'c13', 'v1', 'v8']","[['v2', 'c8', 'v6'], ['v1', 'c1', 'v3'], ['v7', 'c7', 'v5'], ['v14', 'c9', 'v16'], ['v4', 'c2', 'v8']]","[['f2', 'fo2', 'fo3', 'fo8', 'f5']]","[['f2', 'fo2', 'fo3', 'fo8', 'f5']]",[],"[['f2', 'fo2', 'fo3', 'fo8', 'f5']]","[['f2', 'fo2', 'fo3', 'fo8', 'f5']]",8,8,-1,8,8,0.00003,0.00010,0.00077,0.00230,0.00226,9,0,0,0,[],[],[]
lrb3|benchmark3_1,"[['f1'], ['f7']]",1,1,0,0,0,0,0,23,2,2,"[[1, 'v11'], [2, 'v2', 'v3'], [1, 'v14'], [2, 'v15', 'v16'], [2, 'v2', 'v3'], [2, 'v8', 'v6'], [1, 'v14']]","['v1', 'v2', 'v12', 'v13', 'v20', 'v21', 'c1', 'c8', 'c3', 'c10', 'c5', 'c12', 'v3', 'v6', 'v10', 'v17', 'v18', 'v25']","['v1', 'v2', 'v12', 'v13', 'v20', 'v21', 'c1', 'c8', 'c3', 'c10', 'c5', 'c12', 'v3', 'v6', 'v10', 'v17', 'v18', 'v25']",[],[],[],"[['v11', 'c4', 'v15'], ['v2', 'c8', 'v6'], ['v3', 'c1', 'v1'], ['v14', 'c9', 'v16'], ['v8', 'c2', 'v4']]","[['f1', 'fo1', 'fo2', 'fo3', 'fo8', 'fo9', 'fo7', 'fo13', 'f7']]","[['f1', 'fo1', 'fo2', 'fo3', 'fo8', 'fo9', 'fo7', 'fo13', 'f7']]",[],[],[],16,16,-1,-1,-1,0.00005,0.00019,0.00074,0.00473,0.00496,15,0,0,0,[],[],[]
lrb3|benchmark4_1,"[['f5'], ['f9']]",1,1,0,0,0,0,0,23,2,2,"[[2, 'v2', 'v1'], [2, 'v18', 'v6'], [1, 'v14'], [1, 'v16'], [2, 'v15', 'v13'], [2, 'v2', 'v3'], [2, 'v8', 'v6'], [1, 'v14']]","['v9', 'v16', 'v17', 'v24', 'v25', 'c13', 'c9', 'c10', 'c11', 'c12', 'v14', 'v13', 'v22', 'v21']","['v9', 'v16', 'v17', 'v24', 'v25', 'c13', 'c9', 'c10', 'c11', 'c12', 'v14', 'v13', 'v22', 'v21']",[],[],[],"[['v2', 'c8', 'v6'], ['v1', 'c1', 'v3'], ['v18', 'c5', 'v20'], ['v14', 'c9', 'v16'], ['v15', 'c4', 'v11'], ['v13', 'c10', 'v17'], ['v8', 'c2', 'v4']]","[['f5', 'fo8', 'fo9', 'fo10', 'fo11', 'fo15', 'f9']]","[['f5', 'fo8', 'fo9', 'fo10', 'fo11', 'fo15', 'f9']]",[],[],[],12,12,-1,-1,-1,0.00004,0.00020,0.00090,0.01037,0.01049,27,0,0,0,[],[],[]
lrb3|benchmark5_1,"[['f4'], ['f6']]",1,1,0,1,1,1,1,3,1,1,"[[1, 'v6'], [2, 'v2', 'v1'], [1, 'v13'], [2, 'v16', 'v17'], [1, 'v24'], [1, 'v16'], [2, 'v2', 'v11']]","['v7', 'v8', 'v10', 'v11', 'v18', 'c7', 'c2', 'c3', 'c4', 'c5', 'v5', 'v4', 'v12', 'v15', 'v20']","['v7', 'v8', 'v10', 'v11', 'v18', 'c7', 'c2', 'c3', 'c4', 'c5', 'v5', 'v4', 'v12', 'v15', 'v20']",[],"['v7', 'v8', 'v10', 'v11', 'v18', 'c7', 'c2', 'c3', 'c4', 'c5', 'v5', 'v4', 'v12', 'v15', 'v20']","['v7', 'v8', 'v10', 'v11', 'v18', 'c7', 'c2', 'c3', 'c4', 'c5', 'v5', 'v4', 'v12', 'v15', 'v20']","[['v6', 'c8', 'v2'], ['v1', 'c1', 'v3'], ['v13', 'c10', 'v17'], ['v16', 'c9', 'v14'], ['v24', 'c11', 'v22'], ['v11', 'c4', 'v15']]","[['f4', 'fo5', 'fo4', 'fo3', 'fo8', 'fo9', 'fo7', 'fo6', 'fo12', 'f6']]","[['f4', 'fo5', 'fo4', 'fo3', 'fo8', 'fo9', 'fo7', 'fo6', 'fo12', 'f6']]",[],"[['f4', 'fo5', 'fo4', 'fo3', 'fo8', 'fo9', 'fo7', 'fo6', 'fo12', 'f6']]","[['f4', 'fo5', 'fo4', 'fo3', 'fo8', 'fo9', 'fo7', 'fo6', 'fo12', 'f6']]",18,18,-1,18,18,0.00005,0.00025,0.00070,0.00489,0.00489,15,0,0,0,[],[],[]
