,User Requirement,Netx Shortest Path (Dijkstra) estimate,A* estimate,Vespa 1 estimate,Vespa 100 estimate,Vespa INF estimate,Netx Shortest Path (Dijkstra) success,A* success,Vespa 1 success,Vespa 100 success,Vespa INF success,Constraint List,Netx Shortest Path (Dijkstra) control List,A star control list,Vespa 1 control list,Vespa 100 control list,Vespa INF control list,ConstraintNodesGroup,Netx Shortest Path (Dijkstra) path,A* path,Vespa 1 path,Vespa 100 path,Vespa INF path,Netx Shortest Path (Dijkstra) path length,A* path length,Vespa 1 path length,Vespa 100 path length,Vespa INF path length,Netx Shortest Path (Dijkstra) runtime,A* runtime,Vespa 1 runtime,Vespa 100 runtime,Vespa INF runtime,Num Of Graph,Failures caused by Leakage Vespa 1,Failures caused by Leakage Vespa 100,Failures caused by Leakage Vespa INF,Leakage port in Vespa 1,Leakage port in Vespa 100,Leakage port in Vespa INF
lrb2|benchmark1_1,"[['f1'], ['f4']]",1,1,0,0,0,0,0,23,2,2,"[[1, 'v4'], [2, 'v1', 'v9'], [2, 'v9', 'v13'], [1, 'v14'], [2, 'v4', 'v7'], [1, 'v7'], [2, 'v4', 'v2']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v5', 'v6', 'c1', 'c5', 'c4', 'v8']","['v1', 'v5', 'v6', 'c1', 'c5', 'c4', 'v8']","['v1', 'v5', 'v6', 'c1', 'c5', 'c4', 'v8']","[['v4', 'c6', 'v7'], ['v1', 'c1'], ['v9', 'c7', 'v10', 'v13'], ['v14', 'c8'], ['v2', 'c2']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]",[],[],[],12,12,-1,-1,-1,0.00009,0.00037,0.00155,0.00395,0.00388,9,1,3,3,['f2'],"['f2', 'f2', 'f2']","['f2', 'f2', 'f2']"
lrb2|benchmark2_1,"[['f1'], ['f4']]",1,1,0,0,0,0,0,23,2,2,"[[1, 'v7'], [1, 'v12'], [2, 'v6', 'v8'], [2, 'v10', 'v11'], [2, 'v4', 'v7'], [1, 'v7'], [2, 'v4', 'v2']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v5', 'v3', 'c1', 'c5', 'c3']","['v1', 'v5', 'v3', 'c1', 'c5', 'c3']","['v1', 'v5', 'v3', 'c1', 'c5', 'c3']","[['v7', 'c6', 'v4'], ['v12', 'c10'], ['v6', 'c4', 'v8'], ['v10', 'c7', 'v9', 'v13'], ['v11', 'c9'], ['v2', 'c2']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]",[],[],[],12,12,-1,-1,-1,0.00004,0.00019,0.00075,0.00565,0.00567,9,1,9,9,['f2'],"['f2', 'f2', 'f2', 'f2', 'f2', 'f2', 'f2', 'f2', 'f2']","['f2', 'f2', 'f2', 'f2', 'f2', 'f2', 'f2', 'f2', 'f2']"
lrb2|benchmark3_1,"[['f1'], ['f4']]",1,1,0,0,0,0,0,23,2,2,"[[1, 'v9'], [2, 'v7', 'v4'], [1, 'v5'], [1, 'v2'], [1, 'v4'], [2, 'v1', 'v9'], [2, 'v9', 'v13'], [1, 'v14'], [1, 'v7'], [2, 'v4', 'v2']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']",[],[],[],"[['v9', 'c7', 'v10', 'v13'], ['v7', 'c6', 'v4'], ['v5', 'c5'], ['v2', 'c2'], ['v1', 'c1'], ['v14', 'c8']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]",[],[],[],12,12,-1,-1,-1,0.00004,0.00019,0.00060,0.00289,0.00288,9,0,0,0,[],[],[]
lrb2|benchmark4_1,"[['f1'], ['f4']]",1,1,0,0,0,0,0,23,2,2,"[[1, 'v4'], [2, 'v2', 'v1'], [2, 'v3', 'v7'], [2, 'v4', 'v7'], [1, 'v7'], [2, 'v4', 'v2']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v9', 'v13', 'v14', 'v12', 'c7', 'c8', 'c10', 'v10']","['v9', 'v13', 'v14', 'v12', 'c7', 'c8', 'c10', 'v10']","['v9', 'v13', 'v14', 'v12', 'c7', 'c8', 'c10', 'v10']","[['v4', 'c6', 'v7'], ['v2', 'c2'], ['v1', 'c1'], ['v3', 'c3']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]",[],[],[],12,12,-1,-1,-1,0.00004,0.00020,0.00081,0.00491,0.00524,8,1,8,8,['f5'],"['f5', 'f5', 'f2', 'f2', 'f2', 'f5', 'f5', 'f5']","['f5', 'f5', 'f2', 'f2', 'f2', 'f5', 'f5', 'f5']"
lrb2|benchmark5_1,"[['f1'], ['f4']]",1,1,0,0,0,0,0,23,2,2,"[[1, 'v1'], [2, 'v13', 'v9'], [1, 'v4'], [2, 'v4', 'v7'], [1, 'v7'], [2, 'v4', 'v2']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']",[],[],[],"[['v1', 'c1'], ['v13', 'c7', 'v9', 'v10'], ['v4', 'c6', 'v7'], ['v2', 'c2']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]","[['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']]",[],[],[],12,12,-1,-1,-1,0.00004,0.00019,0.00035,0.00071,0.00073,3,0,0,0,[],[],[]
