,User Requirement,Netx Shortest Path (Dijkstra) estimate,A* estimate,VeSpA 2 estimate,VeSpA 20 estimate,VeSpA 200 estimate,Netx Shortest Path (Dijkstra) success,A* success,VeSpA 2 success,VeSpA 20 success,VeSpA 200 success,Constraint List,Netx Shortest Path (Dijkstra) control List,A star control list,VeSpA 2 control list,VeSpA 20 control list,VeSpA 200 control list,ConstraintNodesGroup,Netx Shortest Path (Dijkstra) path,A* path,VeSpA 2 path,VeSpA 20 path,VeSpA 200 path,Netx Shortest Path (Dijkstra) path length,A* path length,VeSpA 2 path length,VeSpA 20 path length,VeSpA 200 path length,Netx Shortest Path (Dijkstra) runtime,A* runtime,VeSpA 2 runtime,VeSpA 20 runtime,VeSpA 200 runtime
lrb4|benchmark1_1,"['f1', 'f10']",1,1,0,0,0,0,0,23,2,2,"[[2, 'v2', 'v1'], [2, 'v8', 'v6'], [1, 'v4'], [1, 'v6'], [1, 'v19'], [2, 'v66', 'v65'], [2, 'v2', 'v58'], [1, 'v36'], [1, 'v39'], [1, 'v36'], [1, 'v37'], [1, 'v56'], [2, 'v2', 'v11'], [1, 'v15'], [1, 'v19'], [1, 'v46'], [1, 'v47'], [1, 'v55']]","['v1', 'v9', 'v17', 'v26', 'co1', 'v59', 'v54', 'v45', 'v36', 'v28', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c12', 'v18', 'v20', 'c3', 'c13', 'c14', 'c16', 'co2', 'co4', 'c4', 'v46', 'v48', 'v37', 'v39', 'v29', 'v31', 'v3', 'v30', 'v11', 'v38', 'v19', 'v47', 'v40', 'co3', 'v25', 'v60', 'v61', 'v62']","['v1', 'v9', 'v17', 'v54', 'v45', 'v36', 'v28', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c12', 'v18', 'v20', 'c4', 'v46', 'v48', 'v37', 'v39', 'v29', 'v31', 'v3', 'v30', 'v11', 'v38', 'v19', 'v47', 'v25', 'v59', 'v60', 'v61', 'v62']",[],[],[],"[['v2', 'c1', 'v1', 'v3', 'v4', 'v28', 'v29', 'v30', 'v31'], ['v8', 'c6', 'v5', 'v7', 'v6', 'v32', 'v33', 'v34', 'v35'], ['v19', 'c12', 'v18', 'v20', 'v17', 'v45', 'v46', 'v47', 'v48'], ['v66', 'c11', 'v57'], ['v65', 'c10', 'v58'], ['v36', 'c2', 'v37', 'v39', 'v9', 'v10', 'v11', 'v12', 'v38'], ['v56', 'c8', 'v63'], ['v15', 'c5', 'v14', 'v16', 'v13', 'v41', 'v42', 'v43', 'v44'], ['v55', 'c9', 'v64']]","[['f1', 'fo1', 'fo40', 'fo18', 'fo23', 'fo24', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']]","[['f1', 'fo1', 'fo2', 'fo3', 'fo4', 'fo5', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']]",[],[],[],26,26,-1,-1,-1,9.58442687988281E-05,0.000581979751587,0.009040355682373,0.017232418060303,0.01724648475647
lrb4|benchmark2_1,"['f2', 'f15']",1,1,0,1,1,1,1,3,1,1,"[[2, 'v2', 'v1'], [2, 'v7', 'v3'], [1, 'v14'], [2, 'v8', 'v4'], [2, 'v65', 'v45'], [1, 'v56'], [2, 'v2', 'v41'], [2, 'v42', 'v43'], [1, 'v44'], [2, 'v48', 'v4'], [2, 'v65', 'v57'], [1, 'v58']]","['v5', 'v10', 'v18', 'v54', 'v50', 'v39', 'v34', 'c6', 'v6', 'v8', 'c2', 'v9', 'v11', 'c12', 'v17', 'v19', 'c4', 'c15', 'v49', 'v51', 'v36', 'v38', 'v33', 'v35', 'v7', 'v32', 'v12', 'v37', 'v20', 'v45', 'v46', 'v47', 'v48', 'v25', 'v59', 'v60', 'v61', 'v62', 'v21', 'v22', 'v23', 'v24', 'v52']","['v5', 'v10', 'v18', 'v54', 'v50', 'v39', 'v34', 'c6', 'v6', 'v8', 'c2', 'v9', 'v11', 'c12', 'v17', 'v19', 'c4', 'c15', 'v49', 'v51', 'v36', 'v38', 'v33', 'v35', 'v7', 'v32', 'v12', 'v37', 'v20', 'v45', 'v46', 'v47', 'v48', 'v25', 'v59', 'v60', 'v61', 'v62', 'v21', 'v22', 'v23', 'v24', 'v52']",[],"['v5', 'v10', 'v18', 'v54', 'v50', 'v39', 'v34', 'c6', 'v6', 'v8', 'c2', 'v9', 'v11', 'c12', 'v17', 'v19', 'c4', 'c15', 'v49', 'v51', 'v36', 'v38', 'v33', 'v35', 'v7', 'v32', 'v12', 'v37', 'v20', 'v45', 'v46', 'v47', 'v48', 'v25', 'v59', 'v60', 'v61', 'v62', 'v21', 'v22', 'v23', 'v24', 'v52']","['v5', 'v10', 'v18', 'v54', 'v50', 'v39', 'v34', 'c6', 'v6', 'v8', 'c2', 'v9', 'v11', 'c12', 'v17', 'v19', 'c4', 'c15', 'v49', 'v51', 'v36', 'v38', 'v33', 'v35', 'v7', 'v32', 'v12', 'v37', 'v20', 'v45', 'v46', 'v47', 'v48', 'v25', 'v59', 'v60', 'v61', 'v62', 'v21', 'v22', 'v23', 'v24', 'v52']","[['v2', 'c1', 'v1', 'v3', 'v4', 'v28', 'v29', 'v30', 'v31'], ['v7', 'c6', 'v6', 'v8', 'v5', 'v32', 'v33', 'v34', 'v35'], ['v14', 'c5', 'v13', 'v15', 'v16', 'v41', 'v42', 'v43', 'v44'], ['v65', 'c10', 'v58'], ['v45', 'c12', 'v46', 'v48', 'v17', 'v18', 'v19', 'v20', 'v47'], ['v56', 'c8', 'v63'], ['v57', 'c11', 'v66']]","[['f2', 'fo2', 'fo3', 'fo4', 'fo5', 'fo22', 'fo27', 'fo14', 'fo15', 'f15']]","[['f2', 'fo2', 'fo3', 'fo4', 'fo5', 'fo22', 'fo27', 'fo14', 'fo15', 'f15']]",[],"[['f2', 'fo2', 'fo3', 'fo4', 'fo5', 'fo22', 'fo27', 'fo14', 'fo15', 'f15']]","[['f2', 'fo2', 'fo3', 'fo4', 'fo5', 'fo22', 'fo27', 'fo14', 'fo15', 'f15']]",18,18,-1,18,18,7.74860382080078E-05,0.000458478927612,0.009666442871094,0.039534091949463,0.042275905609131
lrb4|benchmark3_1,"['f9', 'f10']",1,1,1,1,1,1,0,1,1,1,"[[1, 'co2'], [1, 'v24'], [1, 'v32'], [1, 'v49'], [1, 'v41'], [1, 'co2'], [1, 'v34'], [1, 'v33'], [1, 'v44'], [1, 'v42'], [2, 'v24', 'co2'], [1, 'co3'], [1, 'co4'], [2, 'co4', 'v34']]","['v25', 'v54', 'v45', 'v36', 'v28', 'c4', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v60', 'v61', 'v62', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","['v25', 'v27', 'co2', 'v60', 'v54', 'v45', 'v36', 'v28', 'c4', 'c7', 'c13', 'c14', 'c16', 'co1', 'co3', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v61', 'v62', 'v53', 'co4', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","['v25', 'v54', 'v45', 'v36', 'v28', 'c4', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v60', 'v61', 'v62', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","['v25', 'v54', 'v45', 'v36', 'v28', 'c4', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v60', 'v61', 'v62', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","['v25', 'v54', 'v45', 'v36', 'v28', 'c4', 'c12', 'v46', 'v48', 'c2', 'v37', 'v39', 'c1', 'v29', 'v31', 'v59', 'v60', 'v61', 'v62', 'v17', 'v18', 'v19', 'v20', 'v47', 'v9', 'v10', 'v11', 'v12', 'v38', 'v1', 'v2', 'v3', 'v4', 'v30']","[['co2', 'c13', 'c14', 'c16', 'co1', 'co3', 'co4'], ['v24', 'c15', 'v21', 'v23', 'v22', 'v49', 'v50', 'v51', 'v52'], ['v32', 'c6', 'v33', 'v5', 'v6', 'v7', 'v8', 'v34', 'v35'], ['v41', 'c5', 'v42', 'v44', 'v13', 'v14', 'v15', 'v16', 'v43']]","[['f9', 'fo9', 'fo8', 'fo7', 'fo6', 'fo5', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']]","[['f9', 'fo9', 'fo41', 'fo19', 'fo25', 'fo26', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']]","[['f9', 'fo9', 'fo8', 'fo7', 'fo6', 'fo5', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']]","[['f9', 'fo9', 'fo8', 'fo7', 'fo6', 'fo5', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']]","[['f9', 'fo9', 'fo8', 'fo7', 'fo6', 'fo5', 'fo22', 'fo27', 'fo14', 'fo13', 'fo12', 'fo11', 'fo10', 'f10']]",26,26,26,26,26,9.84668731689453E-05,0.000577449798584,0.007071971893311,0.011647462844849,0.011618137359619
lrb4|benchmark4_1,"['f5', 'fo41']",1,1,0,1,1,1,0,3,1,1,"[[2, 'v6', 'v11'], [2, 'v18', 'v6'], [1, 'v59'], [1, 'v16'], [2, 'co1', 'v11'], [2, 'v18', 'co2'], [1, 'co3'], [1, 'co4'], [2, 'co4', 'v11'], [2, 'v18', 'co3'], [1, 'co1'], [1, 'co2']]","['v3', 'v11', 'v21', 'v27', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c15', 'v22', 'v24', 'c7', 'v1', 'v28', 'v29', 'v30', 'v31', 'v9', 'v36', 'v37', 'v38', 'v39', 'v23', 'v49', 'v50', 'v51', 'v52', 'v53']","['v3', 'v11', 'v21', 'v60', 'co2', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c15', 'v22', 'v24', 'c4', 'c13', 'c14', 'c16', 'co1', 'co3', 'v1', 'v28', 'v29', 'v30', 'v31', 'v9', 'v36', 'v37', 'v38', 'v39', 'v23', 'v49', 'v50', 'v51', 'v52', 'v25', 'v54', 'v59', 'v61', 'v62', 'co4']",[],"['v3', 'v11', 'v21', 'v27', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c15', 'v22', 'v24', 'c7', 'v1', 'v28', 'v29', 'v30', 'v31', 'v9', 'v36', 'v37', 'v38', 'v39', 'v23', 'v49', 'v50', 'v51', 'v52', 'v53']","['v3', 'v11', 'v21', 'v27', 'c1', 'v2', 'v4', 'c2', 'v10', 'v12', 'c15', 'v22', 'v24', 'c7', 'v1', 'v28', 'v29', 'v30', 'v31', 'v9', 'v36', 'v37', 'v38', 'v39', 'v23', 'v49', 'v50', 'v51', 'v52', 'v53']","[['v6', 'c6', 'v5', 'v7', 'v8', 'v32', 'v33', 'v34', 'v35'], ['v11', 'c2', 'v10', 'v12', 'v9', 'v36', 'v37', 'v38', 'v39'], ['v18', 'c12', 'v17', 'v19', 'v20', 'v45', 'v46', 'v47', 'v48'], ['v59', 'c4', 'v25', 'v54', 'v60', 'v61', 'v62'], ['v16', 'c5', 'v13', 'v15', 'v14', 'v41', 'v42', 'v43', 'v44'], ['co1', 'c13', 'c14', 'c16', 'co2', 'co4', 'co3']]","[['f5', 'fo5', 'fo6', 'fo7', 'fo8', 'fo9', 'fo41']]","[['f5', 'fo5', 'fo22', 'fo26', 'fo25', 'fo19', 'fo41']]",[],"[['f5', 'fo5', 'fo6', 'fo7', 'fo8', 'fo9', 'fo41']]","[['f5', 'fo5', 'fo6', 'fo7', 'fo8', 'fo9', 'fo41']]",12,12,-1,12,12,6.77108764648437E-05,0.000439882278442,0.008447408676147,0.016839265823364,0.016963958740234
lrb4|benchmark5_1,"['fo41', 'fo34']",1,1,1,1,1,1,1,1,1,1,"[[2, 'v2', 'v1'], [1, 'v45'], [1, 'v49'], [1, 'v26'], [1, 'v27'], [1, 'v58'], [2, 'v2', 'v58'], [1, 'v36'], [1, 'v39'], [1, 'v36'], [1, 'v37'], [1, 'v56'], [2, 'v2', 'v11'], [1, 'v15'], [1, 'v19'], [1, 'v46'], [1, 'v47'], [1, 'v55']]","['co2', 'v57', 'c13', 'c14', 'c16', 'co1', 'co3', 'c11', 'v66', 'co4']","['co2', 'v57', 'c13', 'c14', 'c16', 'co1', 'co3', 'c11', 'v66', 'co4']","['co2', 'v57', 'c13', 'c14', 'c16', 'co1', 'co3', 'c11', 'v66', 'co4']","['co2', 'v57', 'c13', 'c14', 'c16', 'co1', 'co3', 'c11', 'v66', 'co4']","['co2', 'v57', 'c13', 'c14', 'c16', 'co1', 'co3', 'c11', 'v66', 'co4']","[['v2', 'c1', 'v1', 'v3', 'v4', 'v28', 'v29', 'v30', 'v31'], ['v45', 'c12', 'v46', 'v48', 'v17', 'v18', 'v19', 'v20', 'v47'], ['v49', 'c15', 'v50', 'v52', 'v21', 'v22', 'v23', 'v24', 'v51'], ['v26', 'c3', 'v40'], ['v27', 'c7', 'v53'], ['v58', 'c10', 'v65'], ['v36', 'c2', 'v37', 'v39', 'v9', 'v10', 'v11', 'v12', 'v38'], ['v56', 'c8', 'v63'], ['v15', 'c5', 'v14', 'v16', 'v13', 'v41', 'v42', 'v43', 'v44'], ['v55', 'c9', 'v64']]","[['fo41', 'fo19', 'fo25', 'fo34']]","[['fo41', 'fo19', 'fo25', 'fo34']]","[['fo41', 'fo19', 'fo25', 'fo34']]","[['fo41', 'fo19', 'fo25', 'fo34']]","[['fo41', 'fo19', 'fo25', 'fo34']]",6,6,6,6,6,2.52723693847656E-05,9.56058502197266E-05,0.007676839828491,0.011270046234131,0.011274814605713
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True positive,4,2,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False negative,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
